"lhs","op","rhs","block","group","label.x","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","label.y","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"Benev","~~","Unive","Norway",10,"",0.236,0.0179715010936575,13.1110126529286,0,0.200401083339373,0.270848073122755,"",0.2,0.0163691287536706,12.2405189511627,0,0.168283727907834,0.232449533538821
"iphlppl_r","~~","iphlppl_r","Norway",10,"",0.546,0.0316131121064595,17.2847888947454,0,0.484465407898186,0.608386530233961,"",0.564,0.0300332828225965,18.7828185308745,0,0.505245548473466,0.622973853813055
"iplylfr_r","~~","iplylfr_r","Norway",10,"",0.431,0.0266879520543553,16.1314542295797,0,0.378208052198383,0.482822901893719,"",0.392,0.0285089266147392,13.7340196650092,0,0.335665689352348,0.447418628157916
"ipeqopt_r","~~","ipeqopt_r","Norway",10,"",0.882,0.0461257818495536,19.122930157137,0,0.791655233568473,0.972464975936225,"",0.9,0.0459009311943187,19.5998629851873,0,0.809687790303438,0.989616134298869
"ipudrst_r","~~","ipudrst_r","Norway",10,"",0.636,0.0348909642438778,18.2399639098955,0,0.568024895285908,0.704794961893658,"",0.616,0.0345735161524429,17.8272454118344,0,0.548587710721919,0.684113403677323
"impenv_r","~~","impenv_r","Norway",10,"",1.235,0.0428815512901088,28.7994758382838,0,1.1509199041578,1.31901249641744,"",0.975,0.0454363197986154,21.4668871205431,0,0.886322797894444,1.06442989868511
"Benev","~~","Benev","Norway",10,"",0.322,0.0262145241619793,12.2717043225642,0,0.27031736624319,0.373076412701859,"",0.24,0.0239531236401304,10.0179158795448,0,0.19301311802727,0.286907637331051
"Unive","~~","Unive","Norway",10,"",0.235,0.0223793954188427,10.5188129645873,0,0.191541865654637,0.279267483688061,"",0.249,0.023188555421241,10.7495448273395,0,0.203817682502734,0.294715149461021
"iphlppl_r","~1","","Norway",10,".p14.",4.863,0.0233792526338243,208.02464031078,0,4.81763812673841,4.90928311303392,".p14.",5.023,0.0191662324090617,262.05587402781,0,4.98505866053572,5.06018891101789
"iplylfr_r","~1","","Norway",10,".p15.",5.114,0.0202368439501724,252.688485447536,0,5.0739539627041,5.15328093331029,".p15.",5.256,0.0168331722318731,312.225861052608,0,5.22275928302339,5.28874410566345
"ipeqopt_r","~1","","Norway",10,".p16.",4.793,0.0213526151768782,224.481006765681,0,4.75140619526334,4.83510690870819,".p16.",4.928,0.0179134163745963,275.083095621639,0,4.89256837854902,4.96278768041758
"ipudrst_r","~1","","Norway",10,".p17.",4.629,0.0228184626267529,202.874635836837,0,4.58456393082798,4.67401066068999,".p17.",4.772,0.0199661494551391,238.99204768332,0,4.73261800879288,4.81088387647691
