"lhs","op","rhs","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"impenv_r","~1","",2.18153270787074,0.142456427677089,15.3136839344006,0,1.90232324025741,2.46074217548407,1.36510763381773,0.154276805852578,8.84843075583367,0,1.0627306506968,1.66748461693866
"ipeqopt_r","~1","",1.88923972009219,0.163527179294484,11.5530624832096,0,1.56873233818158,2.2097471020028,0.988285006902797,0.164798881144262,5.99691575598544,2.01100314178859e-09,0.665285135167547,1.31128487863805
"ipudrst_r","~1","",1.41403857791342,0.175245646057645,8.06889420492817,6.66133814775094e-16,1.07056342319299,1.75751373263386,0.268081170948738,0.184042312372789,1.45662792154949,0.145219115944329,-0.0926351329333993,0.628797474830875
"agea","~1","",50.1569443102558,0,NA,NA,50.1569443102558,50.1569443102558,50.9321734746851,0,NA,NA,50.9321734746851,50.9321734746851
"gndrD","~1","",0.520992218780035,0,NA,NA,0.520992218780035,0.520992218780035,0.533211287095604,0,NA,NA,0.533211287095604,0.533211287095604
"eisced2","~1","",0.304424170344605,0,NA,NA,0.304424170344605,0.304424170344605,0.316118508138987,0,NA,NA,0.316118508138987,0.316118508138987
"eisced3","~1","",0.225670296107207,0,NA,NA,0.225670296107207,0.225670296107207,0.238007597859639,0,NA,NA,0.238007597859639,0.238007597859639
"domicil2","~1","",0.325800119956029,0,NA,NA,0.325800119956029,0.325800119956029,0.317997675626468,0,NA,NA,0.317997675626468,0.317997675626468
"domicil3","~1","",0.10631358157792,0,NA,NA,0.10631358157792,0.10631358157792,0.114379415673014,0,NA,NA,0.114379415673014,0.114379415673014
"domicil4","~1","",0.170514778620704,0,NA,NA,0.170514778620704,0.170514778620704,0.177365661268205,0,NA,NA,0.177365661268205,0.177365661268205
"HDI","~1","",0.908948643525624,0,NA,NA,0.908948643525624,0.908948643525624,0.9125400551343,0,NA,NA,0.9125400551343,0.9125400551343
"Benev","~1","",0,0,NA,NA,0,0,0,0,NA,NA,0,0
"Unive","~1","",0,0,NA,NA,0,0,0,0,NA,NA,0,0
"STrasc","~1","",0,0,NA,NA,0,0,0,0,NA,NA,0,0
