"lhs","op","rhs","block","level","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y","rhs1"
"domicil2","~1","",1,1,NA,0,NA,NA,0.316257781032589,0.316257781032589,NA,0,NA,NA,0.314721960414703,0.314721960414703,""
"domicil3","~1","",1,1,NA,0,NA,NA,0.105455876968144,0.105455876968144,NA,0,NA,NA,0.114194156456173,0.114194156456173,""
"domicil4","~1","",1,1,NA,0,NA,NA,0.167081655071402,0.167081655071402,NA,0,NA,NA,0.174326107445806,0.174326107445806,""
"Benev_w","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"Unive_w","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"STrasc_w","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"Benev_b","=~","iphlppl_r",2,2,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"iphlppl_r"
"Benev_b","=~","iplylfr_r",2,2,1.063,0.0108323959767017,98.1492830010638,0,1.04196079231627,1.0844230042775,1.06,0.0125836902375635,84.2465274735758,0,1.03546862565963,1.08479578497609,"iplylfr_r"
"Unive_b","=~","ipeqopt_r",2,2,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"ipeqopt_r"
"Unive_b","=~","ipudrst_r",2,2,0.969,0.00973732520469962,99.5540814784323,0,0.950305660103693,0.988475273517624,0.971,0.0100772265437384,96.3965951528556,0,0.95165932631058,0.991161328490137,"ipudrst_r"
"Unive_b","=~","impenv_r",2,2,1.011,0.013907880663079,72.7139473559849,0,0.984037957167532,1.03855584756936,1.041,0.0148664161341394,70.0434345880912,0,1.01215720584884,1.07043248625304,"impenv_r"
"STrasc_b","=~","Unive_b",2,2,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"Unive_b"
"STrasc_b","=~","Benev_b",2,2,1.001,0.00805629501038501,124.20376809647,0,0.984832149117423,1.01641224525579,1.004,0.00854177333596705,117.58359963394,0,0.987630887997618,1.02111402420282,"Benev_b"
"STrasc_b","~","HDI",2,2,5.096,0.0746371647291385,68.2730950076929,0,4.94942408388,5.24199639343459,5.151,0.0859607273785266,59.9208210535416,0,4.98235743313419,5.31931729262774,"Human Development Index"
"iphlppl_r","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"impenv_r","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"ipudrst_r","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"iplylfr_r","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"ipeqopt_r","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"STrasc_b","~~","STrasc_b",2,2,NA,0,NA,NA,0.04,0.04,NA,0,NA,NA,0.04,0.04,"STrasc_b"
"Benev_b","~~","Benev_b",2,2,NA,0,NA,NA,0.03,0.03,NA,0,NA,NA,0.03,0.03,"Benev_b"
"Unive_b","~~","Unive_b",2,2,NA,0,NA,NA,0.03,0.03,NA,0,NA,NA,0.03,0.03,"Unive_b"
"iphlppl_r","~~","iphlppl_r",2,2,NA,0.0186171278372205,1.1155707778366,0.264605906408077,-0.0157201762740787,0.0572576238389817,NA,0.0234209440923419,0.994621085828655,0.319920588218107,-0.0226092420606589,0.0691991717491736,"iphlppl_r"
"iplylfr_r","~~","iplylfr_r",2,2,NA,0.0165160121703862,0.295110136952542,0.767909746233007,-0.0274967464086696,0.0372448316356946,NA,0.0209618119719491,0.421137963179825,0.673654341559653,-0.0322565817172956,0.0499122113141458,"iplylfr_r"
"ipeqopt_r","~~","ipeqopt_r",2,2,NA,0.0213598474585416,1.15939473901321,0.246295320255361,-0.0171000369644531,0.0666290265035686,NA,0.0209900839808952,1.32804591523784,0.184162938986733,-0.0132640133436985,0.0690156039263527,"ipeqopt_r"
"ipudrst_r","~~","ipudrst_r",2,2,NA,0.0103062912652454,0.193217340417721,0.846788758928635,-0.0182086055062196,0.0221913138819018,NA,0.00828722274181475,0.451195464257371,0.651848678403352,-0.0125035007934208,0.0199818154182155,"ipudrst_r"
"impenv_r","~~","impenv_r",2,2,0.044,0.0190876118218745,2.30453773154789,0.021192476827268,0.0065770899268944,0.0813991533704044,0.03,0.00700052637165029,4.29206261274175,1.77021012368606e-05,0.0163259179480154,0.0437674770705303,"impenv_r"
"HDI","~~","HDI",2,2,NA,0,NA,NA,0.000741530612244898,0.000741530612244898,NA,0,NA,NA,0.000674392857142856,0.000674392857142856,"Human Development Index"
"HDI","~1","",2,2,NA,0,NA,NA,0.908428571428571,0.908428571428571,NA,0,NA,NA,0.9135,0.9135,""
"Benev_b","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"Unive_b","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"STrasc_b","~1","",2,2,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
